kegg,name,EC,EC1,EC2,EC3,cog,cogid,cogcat,cogdesc
K00164,2-oxoglutarate dehydrogenase E1 component [EC:1.2.4.2],1.2.4.2,Oxidoreductases,Acting on the aldehyde or oxo group of donors,With a disulfide as acceptor,"2-oxoglutarate dehydrogenase complex, dehydrogenase (E1) component, and related enzymes",COG0567,C,Energy production and conversion
K00166,2-oxoisovalerate dehydrogenase E1 component alpha subunit [EC:1.2.4.4],1.2.4.4,Oxidoreductases,Acting on the aldehyde or oxo group of donors,With a disulfide as acceptor,TPP-dependent pyruvate or acetoin dehydrogenase subunit alpha,COG1071,C,Energy production and conversion
K00167,2-oxoisovalerate dehydrogenase E1 component beta subunit [EC:1.2.4.4],1.2.4.4,Oxidoreductases,Acting on the aldehyde or oxo group of donors,With a disulfide as acceptor,"Pyruvate/2-oxoglutarate/acetoin dehydrogenase complex, dehydrogenase (E1) component",COG0022,C,Energy production and conversion
K00169,pyruvate ferredoxin oxidoreductase alpha subunit [EC:1.2.7.1],1.2.7.1,Oxidoreductases,Acting on the aldehyde or oxo group of donors,With an iron-sulfur protein as acceptor,"Pyruvate:ferredoxin oxidoreductase or related 2-oxoacid:ferredoxin oxidoreductase, alpha subunit",COG0674,C,Energy production and conversion
K00170,pyruvate ferredoxin oxidoreductase beta subunit [EC:1.2.7.1],1.2.7.1,Oxidoreductases,Acting on the aldehyde or oxo group of donors,With an iron-sulfur protein as acceptor,"Pyruvate:ferredoxin oxidoreductase or related 2-oxoacid:ferredoxin oxidoreductase, beta subunit",COG1013,C,Energy production and conversion
K00171,pyruvate ferredoxin oxidoreductase delta subunit [EC:1.2.7.1],1.2.7.1,Oxidoreductases,Acting on the aldehyde or oxo group of donors,With an iron-sulfur protein as acceptor,"Pyruvate:ferredoxin oxidoreductase or related 2-oxoacid:ferredoxin oxidoreductase, delta subunit",COG1144,C,Energy production and conversion
K00172,pyruvate ferredoxin oxidoreductase gamma subunit [EC:1.2.7.1],1.2.7.1,Oxidoreductases,Acting on the aldehyde or oxo group of donors,With an iron-sulfur protein as acceptor,"Pyruvate:ferredoxin oxidoreductase or related 2-oxoacid:ferredoxin oxidoreductase, gamma subunit",COG1014,C,Energy production and conversion
K00174,2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit alpha [EC:1.2.7.3 1.2.7.11],1.2.7.3,Oxidoreductases,Acting on the aldehyde or oxo group of donors,With an iron-sulfur protein as acceptor,"Pyruvate:ferredoxin oxidoreductase or related 2-oxoacid:ferredoxin oxidoreductase, alpha subunit",COG0674,C,Energy production and conversion
K00175,2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit beta [EC:1.2.7.3 1.2.7.11],1.2.7.3,Oxidoreductases,Acting on the aldehyde or oxo group of donors,With an iron-sulfur protein as acceptor,"Pyruvate:ferredoxin oxidoreductase or related 2-oxoacid:ferredoxin oxidoreductase, beta subunit",COG1013,C,Energy production and conversion
K00176,2-oxoglutarate ferredoxin oxidoreductase subunit delta [EC:1.2.7.3],1.2.7.3,Oxidoreductases,Acting on the aldehyde or oxo group of donors,With an iron-sulfur protein as acceptor,"Pyruvate:ferredoxin oxidoreductase or related 2-oxoacid:ferredoxin oxidoreductase, delta subunit",COG1144,C,Energy production and conversion
K00177,2-oxoglutarate ferredoxin oxidoreductase subunit gamma [EC:1.2.7.3],1.2.7.3,Oxidoreductases,Acting on the aldehyde or oxo group of donors,With an iron-sulfur protein as acceptor,"Pyruvate:ferredoxin oxidoreductase or related 2-oxoacid:ferredoxin oxidoreductase, gamma subunit",COG1014,C,Energy production and conversion
K00179,"indolepyruvate ferredoxin oxidoreductase, alpha subunit [EC:1.2.7.8]",1.2.7.8,Oxidoreductases,Acting on the aldehyde or oxo group of donors,With an iron-sulfur protein as acceptor,"TPP-dependent indolepyruvate ferredoxin oxidoreductase, alpha subunit",COG4231,C,Energy production and conversion
K00180,"indolepyruvate ferredoxin oxidoreductase, beta subunit [EC:1.2.7.8]",1.2.7.8,Oxidoreductases,Acting on the aldehyde or oxo group of donors,With an iron-sulfur protein as acceptor,"Pyruvate:ferredoxin oxidoreductase or related 2-oxoacid:ferredoxin oxidoreductase, gamma subunit",COG1014,C,Energy production and conversion
K00183,"prokaryotic molybdopterin-containing oxidoreductase family, molybdopterin binding subunit",NA,NA,NA,NA,Anaerobic selenocysteine-containing dehydrogenase,COG0243,C,Energy production and conversion
K00184,"prokaryotic molybdopterin-containing oxidoreductase family, iron-sulfur binding subunit",NA,NA,NA,NA,Fe-S-cluster-containing dehydrogenase component,COG0437,C,Energy production and conversion
K00185,"prokaryotic molybdopterin-containing oxidoreductase family, membrane subunit",NA,NA,NA,NA,Ni/Fe-hydrogenase 2 integral membrane subunit HybB,COG5557,C,Energy production and conversion
K00188,"2-oxoisovalerate ferredoxin oxidoreductase, delta subunit [EC:1.2.7.7]",1.2.7.7,Oxidoreductases,Acting on the aldehyde or oxo group of donors,With an iron-sulfur protein as acceptor,"Pyruvate:ferredoxin oxidoreductase or related 2-oxoacid:ferredoxin oxidoreductase, delta subunit",COG1144,C,Energy production and conversion
K00189,"2-oxoisovalerate ferredoxin oxidoreductase, gamma subunit [EC:1.2.7.7]",1.2.7.7,Oxidoreductases,Acting on the aldehyde or oxo group of donors,With an iron-sulfur protein as acceptor,"Pyruvate:ferredoxin oxidoreductase or related 2-oxoacid:ferredoxin oxidoreductase, gamma subunit",COG1014,C,Energy production and conversion
K00194,"acetyl-CoA decarbonylase/synthase, CODH/ACS complex subunit delta [EC:2.1.1.245]",2.1.1.245,Transferases,Transferring one-carbon groups,Methyltransferases,CO dehydrogenase/acetyl-CoA synthase delta subunit (corrinoid Fe-S protein),COG2069,C,Energy production and conversion
K00197,"acetyl-CoA decarbonylase/synthase, CODH/ACS complex subunit gamma [EC:2.1.1.245]",2.1.1.245,Transferases,Transferring one-carbon groups,Methyltransferases,CO dehydrogenase/acetyl-CoA synthase gamma subunit (corrinoid Fe-S protein),COG1456,C,Energy production and conversion
K00198,anaerobic carbon-monoxide dehydrogenase catalytic subunit [EC:1.2.7.4],1.2.7.4,Oxidoreductases,Acting on the aldehyde or oxo group of donors,With an iron-sulfur protein as acceptor,Hydroxylamine reductase (hybrid-cluster protein),COG1151,P,Inorganic ion transport and metabolism
K00207,dihydropyrimidine dehydrogenase (NADP+) [EC:1.3.1.2],1.3.1.2,Oxidoreductases,Acting on the CH-CH group of donors,With NAD(+) or NADP(+) as acceptor,NA,NA,NA,NA
K00208,enoyl-[acyl-carrier protein] reductase I [EC:1.3.1.9 1.3.1.10],1.3.1.9,Oxidoreductases,Acting on the CH-CH group of donors,With NAD(+) or NADP(+) as acceptor,Enoyl-[acyl-carrier-protein] reductase (NADH),COG0623,I,Lipid metabolism
K00210,prephenate dehydrogenase [EC:1.3.1.12],1.3.1.12,Oxidoreductases,Acting on the CH-CH group of donors,With NAD(+) or NADP(+) as acceptor,Prephenate dehydrogenase,COG0287,E,Amino Acid metabolis and transport
K00215,4-hydroxy-tetrahydrodipicolinate reductase [EC:1.17.1.8],1.17.1.8,Oxidoreductases,Acting on CH or CH(2) groups,With NAD(+) or NADP(+) as acceptor,Dihydrodipicolinate reductase,COG0289,E,Amino Acid metabolis and transport
K00216,"2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase [EC:1.3.1.28]",1.3.1.28,Oxidoreductases,Acting on the CH-CH group of donors,With NAD(+) or NADP(+) as acceptor,"NAD(P)-dependent dehydrogenase, short-chain alcohol dehydrogenase family",COG1028,I,Lipid metabolism
K00219,"2,4-dienoyl-CoA reductase (NADPH2) [EC:1.3.1.34]",1.3.1.34,Oxidoreductases,Acting on the CH-CH group of donors,With NAD(+) or NADP(+) as acceptor,"NADPH-dependent 2,4-dienoyl-CoA reductase, sulfur reductase, or a related oxidoreductase",COG0446,I,Lipid metabolism
K00226,dihydroorotate dehydrogenase (fumarate) [EC:1.3.98.1],1.3.98.1,Oxidoreductases,Acting on the CH-CH group of donors,"With other, known, acceptors",Dihydroorotate dehydrogenase,COG0167,F,Nucleotide metabolism and transport
K00227,Delta7-sterol 5-desaturase [EC:1.14.19.20],1.14.19.20,Oxidoreductases,"Acting on paired donors, with incorporation or reduction of molecular oxygen",With oxidation of a pair of donors resulting in the reduction of molecular oxygen to two molecules of water,NA,NA,NA,NA
K00228,coproporphyrinogen III oxidase [EC:1.3.3.3],1.3.3.3,Oxidoreductases,Acting on the CH-CH group of donors,With oxygen as acceptor,Coproporphyrinogen III oxidase,COG0408,H,Coenzyme metabolis
K00230,menaquinone-dependent protoporphyrinogen oxidase [EC:1.3.5.3],1.3.5.3,Oxidoreductases,Acting on the CH-CH group of donors,With a quinone or related compound as acceptor,Flavodoxin,COG0716,C,Energy production and conversion
K00231,protoporphyrinogen/coproporphyrinogen III oxidase [EC:1.3.3.4 1.3.3.15],1.3.3.4,Oxidoreductases,Acting on the CH-CH group of donors,With oxygen as acceptor,Protoporphyrinogen oxidase,COG1232,H,Coenzyme metabolis
K00232,acyl-CoA oxidase [EC:1.3.3.6],1.3.3.6,Oxidoreductases,Acting on the CH-CH group of donors,With oxygen as acceptor,NA,NA,NA,NA
K00239,"succinate dehydrogenase / fumarate reductase, flavoprotein subunit [EC:1.3.5.1 1.3.5.4]",1.3.5.1,Oxidoreductases,Acting on the CH-CH group of donors,With a quinone or related compound as acceptor,"Succinate dehydrogenase/fumarate reductase, flavoprotein subunit",COG1053,C,Energy production and conversion
K00240,"succinate dehydrogenase / fumarate reductase, iron-sulfur subunit [EC:1.3.5.1 1.3.5.4]",1.3.5.1,Oxidoreductases,Acting on the CH-CH group of donors,With a quinone or related compound as acceptor,"Succinate dehydrogenase/fumarate reductase, Fe-S protein subunit",COG0479,C,Energy production and conversion
K00241,"succinate dehydrogenase / fumarate reductase, cytochrome b subunit",NA,NA,NA,NA,"Succinate dehydrogenase/fumarate reductase, cytochrome b subunit",COG2009,C,Energy production and conversion
K00242,"succinate dehydrogenase / fumarate reductase, membrane anchor subunit",NA,NA,NA,NA,"Succinate dehydrogenase, hydrophobic anchor subunit",COG2142,C,Energy production and conversion
K00243,uncharacterized protein,NA,NA,NA,NA,"Predicted RNA-binding protein, contains S1 domains, virulence factor B family",COG2996,R,General Functional Prediction only
K00244,fumarate reductase flavoprotein subunit [EC:1.3.5.4],1.3.5.4,Oxidoreductases,Acting on the CH-CH group of donors,With a quinone or related compound as acceptor,"Succinate dehydrogenase/fumarate reductase, flavoprotein subunit",COG1053,C,Energy production and conversion
K00245,fumarate reductase iron-sulfur subunit [EC:1.3.5.4],1.3.5.4,Oxidoreductases,Acting on the CH-CH group of donors,With a quinone or related compound as acceptor,"Succinate dehydrogenase/fumarate reductase, Fe-S protein subunit",COG0479,C,Energy production and conversion
K00246,fumarate reductase subunit C,NA,NA,NA,NA,Fumarate reductase subunit C,COG3029,C,Energy production and conversion
K00247,fumarate reductase subunit D,NA,NA,NA,NA,Fumarate reductase subunit D,COG3080,C,Energy production and conversion
K00248,butyryl-CoA dehydrogenase [EC:1.3.8.1],1.3.8.1,Oxidoreductases,Acting on the CH-CH group of donors,With a flavin as acceptor,Acyl-CoA dehydrogenase related to the alkylation response protein AidB,COG1960,I,Lipid metabolism
K00249,acyl-CoA dehydrogenase [EC:1.3.8.7],1.3.8.7,Oxidoreductases,Acting on the CH-CH group of donors,With a flavin as acceptor,Acyl-CoA dehydrogenase related to the alkylation response protein AidB,COG1960,I,Lipid metabolism
K00253,isovaleryl-CoA dehydrogenase [EC:1.3.8.4],1.3.8.4,Oxidoreductases,Acting on the CH-CH group of donors,With a flavin as acceptor,Acyl-CoA dehydrogenase related to the alkylation response protein AidB,COG1960,I,Lipid metabolism
K00255,long-chain-acyl-CoA dehydrogenase [EC:1.3.8.8],1.3.8.8,Oxidoreductases,Acting on the CH-CH group of donors,With a flavin as acceptor,NA,NA,NA,NA
K00256,isoquinoline 1-oxidoreductase [EC:1.3.99.16],1.3.99.16,Oxidoreductases,Acting on the CH-CH group of donors,With other acceptors,NA,NA,NA,NA
K00257,acyl-ACP dehydrogenase [EC:1.3.99.-],1.3.99.-,Oxidoreductases,Acting on the CH-CH group of donors,With other acceptors,Acyl-CoA dehydrogenase related to the alkylation response protein AidB,COG1960,I,Lipid metabolism
K00259,alanine dehydrogenase [EC:1.4.1.1],1.4.1.1,Oxidoreductases,Acting on the CH-NH(2) group of donors,With NAD(+) or NADP(+) as acceptor,Alanine dehydrogenase,COG0686,E,Amino Acid metabolis and transport
K00260,glutamate dehydrogenase [EC:1.4.1.2],1.4.1.2,Oxidoreductases,Acting on the CH-NH(2) group of donors,With NAD(+) or NADP(+) as acceptor,Glutamate dehydrogenase/leucine dehydrogenase,COG0334,E,Amino Acid metabolis and transport
K00261,glutamate dehydrogenase (NAD(P)+) [EC:1.4.1.3],1.4.1.3,Oxidoreductases,Acting on the CH-NH(2) group of donors,With NAD(+) or NADP(+) as acceptor,Glutamate dehydrogenase/leucine dehydrogenase,COG0334,E,Amino Acid metabolis and transport
K00262,glutamate dehydrogenase (NADP+) [EC:1.4.1.4],1.4.1.4,Oxidoreductases,Acting on the CH-NH(2) group of donors,With NAD(+) or NADP(+) as acceptor,Glutamate dehydrogenase/leucine dehydrogenase,COG0334,E,Amino Acid metabolis and transport
K00265,glutamate synthase (NADPH) large chain [EC:1.4.1.13],1.4.1.13,Oxidoreductases,Acting on the CH-NH(2) group of donors,With NAD(+) or NADP(+) as acceptor,Glutamate synthase domain 1,COG0067,E,Amino Acid metabolis and transport
K00266,glutamate synthase (NADPH) small chain [EC:1.4.1.13],1.4.1.13,Oxidoreductases,Acting on the CH-NH(2) group of donors,With NAD(+) or NADP(+) as acceptor,NADPH-dependent glutamate synthase beta chain or related oxidoreductase,COG0493,E,Amino Acid metabolis and transport
K00274,monoamine oxidase [EC:1.4.3.4],1.4.3.4,Oxidoreductases,Acting on the CH-NH(2) group of donors,With oxygen as acceptor,Monoamine oxidase,COG1231,E,Amino Acid metabolis and transport
K00275,pyridoxamine 5'-phosphate oxidase [EC:1.4.3.5],1.4.3.5,Oxidoreductases,Acting on the CH-NH(2) group of donors,With oxygen as acceptor,Pyridoxine/pyridoxamine 5'-phosphate oxidase,COG0259,H,Coenzyme metabolis
K00276,primary-amine oxidase [EC:1.4.3.21],1.4.3.21,Oxidoreductases,Acting on the CH-NH(2) group of donors,With oxygen as acceptor,Cu2+-containing amine oxidase,COG3733,Q,Secondary Structure
K00278,L-aspartate oxidase [EC:1.4.3.16],1.4.3.16,Oxidoreductases,Acting on the CH-NH(2) group of donors,With oxygen as acceptor,Aspartate oxidase,COG0029,H,Coenzyme metabolis
K00281,glycine dehydrogenase [EC:1.4.4.2],1.4.4.2,Oxidoreductases,Acting on the CH-NH(2) group of donors,With a disulfide as acceptor,"Glycine cleavage system protein P (pyridoxal-binding), N-terminal domain",COG0403,E,Amino Acid metabolis and transport
K00282,glycine dehydrogenase subunit 1 [EC:1.4.4.2],1.4.4.2,Oxidoreductases,Acting on the CH-NH(2) group of donors,With a disulfide as acceptor,"Glycine cleavage system protein P (pyridoxal-binding), N-terminal domain",COG0403,E,Amino Acid metabolis and transport
K00283,glycine dehydrogenase subunit 2 [EC:1.4.4.2],1.4.4.2,Oxidoreductases,Acting on the CH-NH(2) group of donors,With a disulfide as acceptor,"Glycine cleavage system protein P (pyridoxal-binding), C-terminal domain",COG1003,E,Amino Acid metabolis and transport
K00284,glutamate synthase (ferredoxin) [EC:1.4.7.1],1.4.7.1,Oxidoreductases,Acting on the CH-NH(2) group of donors,With an iron-sulfur protein as acceptor,Glutamate synthase domain 1,COG0067,E,Amino Acid metabolis and transport
K00285,D-amino-acid dehydrogenase [EC:1.4.5.1],1.4.5.1,Oxidoreductases,Acting on the CH-NH(2) group of donors,With a quinone or similar compound as acceptor,Glycine/D-amino acid oxidase (deaminating),COG0665,E,Amino Acid metabolis and transport
K00286,pyrroline-5-carboxylate reductase [EC:1.5.1.2],1.5.1.2,Oxidoreductases,Acting on the CH-NH group of donors,With NAD(+) or NADP(+) as acceptor,Pyrroline-5-carboxylate reductase,COG0345,E,Amino Acid metabolis and transport
K00287,dihydrofolate reductase [EC:1.5.1.3],1.5.1.3,Oxidoreductases,Acting on the CH-NH group of donors,With NAD(+) or NADP(+) as acceptor,Dihydrofolate reductase,COG0262,H,Coenzyme metabolis
K00288,methylenetetrahydrofolate dehydrogenase (NADP+) / methenyltetrahydrofolate cyclohydrolase / formyltetrahydrofolate synthetase [EC:1.5.1.5 3.5.4.9 6.3.4.3],1.5.1.5,Oxidoreductases,Acting on the CH-NH group of donors,With NAD(+) or NADP(+) as acceptor,NA,NA,NA,NA
K00290,"saccharopine dehydrogenase (NAD+, L-lysine forming) [EC:1.5.1.7]",1.5.1.7,Oxidoreductases,Acting on the CH-NH group of donors,With NAD(+) or NADP(+) as acceptor,NA,NA,NA,NA
K00294,1-pyrroline-5-carboxylate dehydrogenase [EC:1.2.1.88],1.2.1.88,Oxidoreductases,Acting on the aldehyde or oxo group of donors,With NAD(+) or NADP(+) as acceptor,Acyl-CoA reductase or other NAD-dependent aldehyde dehydrogenase,COG1012,C,Energy production and conversion
K00296,D-nopaline dehydrogenase [EC:1.5.1.19],1.5.1.19,Oxidoreductases,Acting on the CH-NH group of donors,With NAD(+) or NADP(+) as acceptor,NA,NA,NA,NA
K00297,methylenetetrahydrofolate reductase (NADPH) [EC:1.5.1.20],1.5.1.20,Oxidoreductases,Acting on the CH-NH group of donors,With NAD(+) or NADP(+) as acceptor,"5,10-methylenetetrahydrofolate reductase",COG0685,E,Amino Acid metabolis and transport
K00298,N5-(carboxyethyl)ornithine synthase [EC:1.5.1.24],1.5.1.24,Oxidoreductases,Acting on the CH-NH group of donors,With NAD(+) or NADP(+) as acceptor,NA,NA,NA,NA
K00299,FMN reductase [EC:1.5.1.38],1.5.1.38,Oxidoreductases,Acting on the CH-NH group of donors,With NAD(+) or NADP(+) as acceptor,NAD(P)H-dependent FMN reductase,COG0431,C,Energy production and conversion
K00302,"sarcosine oxidase, subunit alpha [EC:1.5.3.1]",1.5.3.1,Oxidoreductases,Acting on the CH-NH group of donors,With oxygen as acceptor,"NADPH-dependent 2,4-dienoyl-CoA reductase, sulfur reductase, or a related oxidoreductase",COG0446,I,Lipid metabolism
K00309,dimethylglycine oxidase [EC:1.5.3.10],1.5.3.10,Oxidoreductases,Acting on the CH-NH group of donors,With oxygen as acceptor,Glycine cleavage system T protein (aminomethyltransferase),COG0404,E,Amino Acid metabolis and transport
K00311,electron-transferring-flavoprotein dehydrogenase [EC:1.5.5.1],1.5.5.1,Oxidoreductases,Acting on the CH-NH group of donors,With a quinone or similar compound as acceptor,Dehydrogenase (flavoprotein),COG0644,C,Energy production and conversion
K00313,electron transfer flavoprotein-quinone oxidoreductase [EC:1.5.5.-],1.5.5.-,Oxidoreductases,Acting on the CH-NH group of donors,With a quinone or similar compound as acceptor,Dehydrogenase (flavoprotein),COG0644,C,Energy production and conversion
K00318,proline dehydrogenase [EC:1.5.5.2],1.5.5.2,Oxidoreductases,Acting on the CH-NH group of donors,With a quinone or similar compound as acceptor,Proline dehydrogenase,COG0506,E,Amino Acid metabolis and transport
